id	description	condition	B1_G1	B1_S	B1_G2	B2_G1	B2_S	B2_G2	B3_S	B3_G1	B3_G2	sumUniPeps	sumPSMs	countNum
O95336	6-phosphogluconolactonase OS=Homo sapiens OX=9606 GN=PGLS PE=1 SV=2	37C	613.8	474.7	624.9	671.5	619.1	640.6	521.5	664.4	680.7	10	30	8
P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	37C	17443.3	14824.5	20761.7	19603.3	18148.8	19274.9	15569.5	19749.4	18809.7	34	617	58
O43823	A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1	37C	490.4	514.3	485	482.5	630.2	482.8	529.8	451.6	429	8	13	7
O96019	Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1	37C	1670.3	1331.7	1729.1	1718.3	1751.5	1704.3	1524.6	1689.7	1772.5	11	48	14
O15143	Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3	37C	1265.5	957.3	1406.9	1410.1	1167.7	1375.9	994.1	1457.6	1403.9	10	34	12
O15145	Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3	37C	256.1	188	238.6	273.5	262	257.2	214.6	243.9	238.6	3	12	3
O15511	Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5 PE=1 SV=3	37C	736	611.7	783.8	881.4	680.8	795.8	612.2	826	790.3	6	25	8
O95433	Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1	37C	2037.6	1790.7	2504.7	2433.4	2190.3	2516.6	1914.8	2388.7	2585.7	16	63	24
O14561	Acyl carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAB1 PE=1 SV=3	37C	862.7	725.2	995.6	971	919.2	939.4	753.7	927.3	941.3	3	29	6
A8MXV4	Acyl-coenzyme A diphosphatase NUDT19 OS=Homo sapiens OX=9606 GN=NUDT19 PE=1 SV=1	37C	214	184.5	235.6	238.2	227.7	221.1	208.2	251.8	255.5	6	7	6
O75608	Acyl-protein thioesterase 1 OS=Homo sapiens OX=9606 GN=LYPLA1 PE=1 SV=1	37C	758.9	584	804.1	858.6	731.9	838.1	644.8	905.5	891.6	7	26	7
O95372	Acyl-protein thioesterase 2 OS=Homo sapiens OX=9606 GN=LYPLA2 PE=1 SV=1	37C	730.1	628.9	872.1	879.6	733.4	895	654	835.7	858.9	9	29	10
P13798	Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4	37C	992.8	876.8	1183.2	1197.7	1016.8	1192.6	938.5	1186.7	1197.8	16	38	17
P07311	Acylphosphatase-1 OS=Homo sapiens OX=9606 GN=ACYP1 PE=1 SV=2	37C	318.4	247.6	329.5	359.5	301.9	320.2	281.6	336.5	315.5	5	16	6
P07741	Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2	37C	795.7	630.7	869.8	900.2	774	845.2	705.2	900.6	893.1	9	33	8
P25054	Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2	37C	106.6	112.4	139.8	137.1	121.8	151.4	92.7	123.5	140.3	3	5	3
P00813	Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=3	37C	742.9	526.8	785.3	723.2	663.4	701.6	597.4	684.2	763.1	7	14	8
P00568	Adenylate kinase isoenzyme 1 OS=Homo sapiens OX=9606 GN=AK1 PE=1 SV=3	37C	921.6	653	943.2	907.3	752.7	890	684.5	871.6	950	7	17	7
P18085	ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3	37C	471.8	397.6	492.9	474.7	518	469.9	457.8	491.3	511	5	36	5
P12235	ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4	37C	18.2	26.8	14.1	18.3	51	16.3	55.9	15	14.2	3	24	2
O43488	Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3	37C	405.2	309.9	410.1	432.4	353.9	397.9	328.5	456.9	414.4	8	18	8
O00170	AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=3	37C	679.3	552.6	723.6	831.1	716.5	765.5	640.7	797.1	797.9	9	21	7
P11766	Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4	37C	2488.9	1933.1	2791.9	2793.1	2325.3	2615.3	2020.7	2686.6	2902.2	11	56	14
P05091	Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2	37C	1673.1	1171.1	1735.4	1836.1	1555.4	1845.1	1438.9	1867.1	1746.4	11	55	13
P14550	Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3	37C	917.6	682.5	970.5	975.1	798.1	918.8	740.6	948.4	950.6	12	35	13
O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	37C	434.1	520.5	348.4	354.6	628.5	322	592.4	354.9	265.8	10	15	10
P12814	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	37C	3168.8	2551.4	3663.4	3626.4	3281.6	3684.6	2858.7	3589.9	3713	25	224	26
O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	37C	16238	12835.2	18844.6	17054	15563.6	17492.1	13999.9	18340.5	18194.8	36	424	77
P06280	Alpha-galactosidase A OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1	37C	206.6	188.3	221.1	238.2	203.8	250.1	182.4	258.5	237.6	7	9	6
P17050	Alpha-N-acetylgalactosaminidase OS=Homo sapiens OX=9606 GN=NAGA PE=1 SV=2	37C	219	158.8	199.7	232.9	195.9	210.9	181.2	222.4	220	4	6	4
O75179	Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3	37C	865	915.3	1088.4	1041.9	991.5	1125.5	869.8	1024	1077.9	17	50	16
P04083	Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2	37C	3129.7	2449.1	3384.9	3901.9	3003.7	3516	3019.5	4593.8	3889.4	15	92	22
P07355	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	37C	2137.9	2158.3	2621.7	3110.3	2891	2303.9	2500.3	3191	2740.9	19	87	21
P08758	Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	37C	1138	915.6	1275.8	1314.9	1106.7	1240.5	977.7	1266.3	1263.3	14	42	12
P08133	Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3	37C	297.5	426.6	279.4	362.8	670.7	269.3	603.5	316.2	301	15	19	11
P20073	Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	37C	1443.8	1116.6	1369	1515.1	1398.5	1283.6	1245.9	1528	1448.6	13	62	14
O95782	AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3	37C	2245.2	2365.4	2039.9	1960.8	2964.2	1961	2590.6	1789.6	1772	23	76	30
O00203	AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3	37C	1465.3	1251.5	1488	1627.8	1636	1554	1405.1	1459.8	1652.9	26	50	24
P02654	Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1	37C	207.8	247.8	277.8	267	355.4	276	290.7	244.2	254.1	2	5	2
P02649	Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1	37C	474.9	494.9	512.3	532.4	686.4	569.5	554.3	500.8	455.4	8	22	9
O95831	Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1	37C	1735.2	1621.4	1495.5	1584.9	1979.5	1325.8	1694.6	1571.5	1009.2	17	47	17
P04424	Argininosuccinate lyase OS=Homo sapiens OX=9606 GN=ASL PE=1 SV=4	37C	325.7	247	348.3	361.1	327.3	338.6	287.2	366.7	353.9	10	15	8
P08243	Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4	37C	2411.9	1817.9	2330.5	2958.4	2542.1	2872.8	2353.8	3168.7	2898.6	25	95	33
O43776	Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1	37C	2682.5	2417.9	3687	3426.1	2574.4	3408.3	2417.7	3440.8	3644.7	21	98	22
P17174	Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3	37C	1771.8	1304.6	1877.7	1916.5	1681.1	1811.1	1477.7	1894.5	1906.7	19	55	20
P14868	Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2	37C	5502.5	4691.6	6239.5	6596.2	5922.7	6454.6	4967.7	6262.3	6606.1	30	145	34
O14497	AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3	37C	762.9	652.8	857.1	866	816.1	898.4	690.7	873.7	904.8	23	32	16
P24539	ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=2	37C	149.9	267.4	82.8	87.6	382	75.2	342.5	74.3	65.1	7	9	4
P17858	ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6	37C	1520.1	1235.3	1690.9	1714.4	1422.4	1648.7	1291.1	1709.6	1716.8	15	57	20
O76031	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=2	37C	1282.4	1116.9	1357.8	1380.8	1469.8	1337	1272.7	1327.4	1333.8	17	37	16
O00148	ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2	37C	978.7	823.5	1003.5	1111.9	964.8	1090	914.1	1071.3	1053.1	7	98	8
O00571	ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	37C	2041.6	2587.3	1862.6	1865.5	3480.7	1888.9	2833.1	1809	2048.5	21	67	19
O43143	ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	37C	2405.9	1953.5	2384.5	2256.3	2455.6	2118.3	2090.3	2080.9	2137.4	25	81	25
O43681	ATPase GET3 OS=Homo sapiens OX=9606 GN=GET3 PE=1 SV=2	37C	52.3	47.6	64.3	65.2	53.3	57.2	49.1	64.7	55.9	3	8	2
O14965	Aurora kinase A OS=Homo sapiens OX=9606 GN=AURKA PE=1 SV=3	37C	111.9	138	328.9	175.6	204.6	340	210.2	167.5	353	6	6	6
O95999	B-cell lymphoma/leukemia 10 OS=Homo sapiens OX=9606 GN=BCL10 PE=1 SV=1	37C	166.7	137.8	173.4	182.6	168	189.1	148.4	179.7	196	3	7	3
O95816	BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1	37C	1078.4	1024	1152.5	1210.6	1233.1	1238.6	1112.4	1219.5	1113.4	10	45	11
O95429	BAG family molecular chaperone regulator 4 OS=Homo sapiens OX=9606 GN=BAG4 PE=1 SV=1	37C	204.2	169	214.6	199.4	200.2	215.3	182.3	220.2	194.3	3	11	4
O43491	Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1	37C	3286.2	3266.5	3161.7	3225.3	4669	3290.1	4124.9	3167	3764.5	33	118	38
O75531	Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1	37C	90	322.4	265.8	298.1	95.9	230.6	94.6	256.9	243.8	1	8	2
P25098	Beta-adrenergic receptor kinase 1 OS=Homo sapiens OX=9606 GN=GRK2 PE=1 SV=2	37C	394.6	306.2	425.9	450	380.5	452.1	330	488.3	446.4	12	16	9
P16278	Beta-galactosidase OS=Homo sapiens OX=9606 GN=GLB1 PE=1 SV=2	37C	972.3	624.4	966.4	977.3	823	888.2	721.9	1004.5	962.6	10	32	11
P06865	Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2	37C	1051.8	743.3	1042.6	1026.2	866.9	1006.4	804.8	1034.1	996.3	12	31	12
P07686	Beta-hexosaminidase subunit beta OS=Homo sapiens OX=9606 GN=HEXB PE=1 SV=4	37C	1238	871.5	1218.4	1290.7	1086.1	1181.3	985.8	1317.2	1228	13	41	12
O00462	Beta-mannosidase OS=Homo sapiens OX=9606 GN=MANBA PE=1 SV=3	37C	474.7	394.6	554.7	554.3	450.7	514.6	402.9	511.8	559.4	12	24	11
P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5	37C	7162.3	6069.2	7638.8	8672.1	7306.5	8311.2	6352.2	8195.7	8721.3	46	224	65
P13995	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2	37C	659.3	580.3	781.1	754.6	805.4	790.1	631.6	765.5	778.9	7	27	10
O15382	Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=BCAT2 PE=1 SV=2	37C	506.4	364.8	544.4	513	436.2	467.1	352.4	471.1	502	8	15	6
P11274	Breakpoint cluster region protein OS=Homo sapiens OX=9606 GN=BCR PE=1 SV=2	37C	416.8	416.9	499.7	477	488.3	559.7	392.4	482.3	496.2	11	21	11
O60885	Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2	37C	947.8	874.3	1119.3	1114.7	1096	1122.2	980	1122.2	1134.3	16	34	17
P11586	C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=4	37C	6544.7	5483.9	7858	7651.6	6864.6	7614.7	6052.2	7438.5	7867.2	40	188	49
P05937	Calbindin OS=Homo sapiens OX=9606 GN=CALB1 PE=1 SV=2	37C	602.5	573.3	933.1	606.1	577	818.4	486.9	597.4	833.8	9	22	9
P04632	Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1	37C	704.8	547.3	719	763.9	647.2	681.2	585.8	762.2	718.8	6	22	8
P07384	Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1	37C	2487.1	2026.8	2756.5	2946.5	2444.9	2676.4	2078.3	2936.7	2881.2	25	69	25
P17655	Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6	37C	821.3	637.8	973.6	909.6	788.3	902.5	695.5	975.1	962.5	12	27	13
P20810	Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4	37C	1024.3	994.8	1241.4	1337.2	1107.5	1222.9	1066.3	1353	1285.8	12	29	12
P10644	cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1	37C	1154.5	968.9	1083.8	1183.3	1270.9	1113.9	1092.5	1152.1	1129.3	8	20	9
P13861	cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2	37C	881.6	782.1	922.7	1015.7	989.3	972.8	827	1000.9	1015.8	14	33	14
P0DMU9	Cancer/testis antigen family 45 member A10 OS=Homo sapiens OX=9606 GN=CT45A10 PE=1 SV=1	37C	221.9	183.6	176	199.5	250.2	182.8	221.9	189.3	210.6	5	7	5
A8MPS7	Carbohydrate deacetylase OS=Homo sapiens OX=9606 GN=YDJC PE=1 SV=1	37C	140.3	116.8	149	170	161.5	166.1	144.7	172.8	163.5	4	10	3
P23786	Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens OX=9606 GN=CPT2 PE=1 SV=2	37C	700.7	580.1	650.5	739.4	692.3	710.3	618.8	757.6	600.8	12	27	13
O75718	Cartilage-associated protein OS=Homo sapiens OX=9606 GN=CRTAP PE=1 SV=1	37C	178.2	174.1	178.8	168.9	186	184.1	179.5	164.4	152.4	5	5	5
P04040	Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3	37C	2973.3	2758.4	3852.4	3510.4	3197.5	3563.6	2865.9	3447.3	3705.2	23	98	29
P21964	Catechol O-methyltransferase OS=Homo sapiens OX=9606 GN=COMT PE=1 SV=2	37C	930.3	909.3	582.8	674	1166.4	589.3	1046.2	643.7	517.8	9	33	11
O60716	Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1	37C	1409.9	1313.3	1395.4	1428	1619.2	1374.9	1344.7	1288.6	1386.4	28	43	24
P07858	Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3	37C	1257.2	711.8	1048.8	1045.2	887.8	886.1	786	937.2	955.5	6	29	7
P25774	Cathepsin S OS=Homo sapiens OX=9606 GN=CTSS PE=1 SV=3	37C	344.8	221.6	268.3	341.5	289.5	266.2	249	290.2	282.3	2	5	2
P20645	Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=M6PR PE=1 SV=1	37C	381.7	515.4	260.7	270.9	694.8	257.7	634.8	261.5	262.9	6	13	8
O95810	Caveolae-associated protein 2 OS=Homo sapiens OX=9606 GN=CAVIN2 PE=1 SV=3	37C	620.1	590.1	611.2	835.4	687.5	736.1	603.7	791	680.6	7	13	7
A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	37C	1995.9	1777.4	2231.7	2281.2	2137.4	2255	1822.8	2101.8	2213.1	51	90	40
O75175	CCR4-NOT transcription complex subunit 3 OS=Homo sapiens OX=9606 GN=CNOT3 PE=1 SV=1	37C	866.2	745	804.8	978.7	803.9	853.2	726.7	978.2	828.1	8	23	9
O95400	CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1	37C	177.9	257.6	209.3	197.7	435.3	195.5	363.7	156.2	206.4	6	8	5
O60671	Cell cycle checkpoint protein RAD1 OS=Homo sapiens OX=9606 GN=RAD1 PE=1 SV=1	37C	43.2	49.3	59.2	42.4	57.5	57.7	48.3	53.7	55.9	4	4	3
O75794	Cell division cycle protein 123 homolog OS=Homo sapiens OX=9606 GN=CDC123 PE=1 SV=1	37C	302.6	276.4	372.5	346.1	377	368.6	312.4	344.5	375.5	6	13	5
O43264	Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=3	37C	503.8	528.4	628.2	630	687.7	653.1	567.6	580.4	638.2	13	20	10
O95684	Centrosomal protein 43 OS=Homo sapiens OX=9606 GN=CEP43 PE=1 SV=1	37C	327.1	324.6	407.9	456.8	329.4	420.2	281	450.2	390.1	8	15	6
O60921	Checkpoint protein HUS1 OS=Homo sapiens OX=9606 GN=HUS1 PE=1 SV=1	37C	86	85.5	100.5	112.4	105.9	106.2	83.4	104.7	103.7	2	3	2
O95239	Chromosome-associated kinesin KIF4A OS=Homo sapiens OX=9606 GN=KIF4A PE=1 SV=3	37C	1846.6	1721.8	2080.8	2324	1869.2	2252.2	1646.3	2156.2	2343	8	64	27
O75390	Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2	37C	2335.7	1912.4	2550.7	2581.2	2305.4	2530.9	1968.7	2475.1	2457.4	14	85	17
O43809	Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1	37C	932.4	688.9	1001.2	828	847.7	854.5	734.9	857.4	816.1	8	25	7
O75153	Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2	37C	2075.9	1941.4	2624.7	2503.9	2280.2	2709.6	1993.6	2369.4	2659.1	36	85	34
O14579	Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3	37C	145.9	118.6	167.6	177.4	121.6	171	99.3	148.7	160.5	1	10	4
O75131	Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1	37C	1467.7	1255.7	1704.4	1823.6	1580	1765.8	1323.5	1748.2	1939.3	15	47	16
O00244	Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1	37C	585.7	504.6	706.6	680.6	631	690.9	526	662.1	740.9	4	24	4
P12277	Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1	37C	2743.9	2531.3	3554	3514.2	2908.8	3655.8	2635.9	3643.9	3822.8	16	112	25
P12532	Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1B PE=1 SV=1	37C	122.3	115.6	164.9	159	131.5	168.3	124	146.5	171.9	4	19	4
P17812	CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2	37C	2020.1	1953.3	2500.8	2412.6	2133	2379.1	1976.9	2529.9	2460.7	17	61	22
P15336	Cyclic AMP-dependent transcription factor ATF-2 OS=Homo sapiens OX=9606 GN=ATF2 PE=1 SV=4	37C	183.9	147.4	225.5	179.8	163.5	192.1	144.9	200.3	191.6	3	5	3
P16220	Cyclic AMP-responsive element-binding protein 1 OS=Homo sapiens OX=9606 GN=CREB1 PE=1 SV=3	37C	210.8	156.1	180.8	173.1	224.7	168.2	182.5	231.4	194.2	3	7	3
P20248	Cyclin-A2 OS=Homo sapiens OX=9606 GN=CCNA2 PE=1 SV=2	37C	142.1	242.3	436.6	254.1	326.4	458.6	325.3	261.7	525.1	8	15	8
P06493	Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3	37C	2610	2108.7	3040.4	2955.4	2724.9	3001.9	2289.1	2722.9	2962.3	12	80	18
P21127	Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4	37C	201.2	169.8	241.9	260.3	215.6	248.6	194.3	251.7	275	2	9	7
P24941	Cyclin-dependent kinase 2 OS=Homo sapiens OX=9606 GN=CDK2 PE=1 SV=2	37C	476.6	384.9	528.4	541.7	510	513.7	420.8	508.8	502.9	8	35	7
P11802	Cyclin-dependent kinase 4 OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=2	37C	286.4	244.1	316.3	323.4	297	356.5	249	334.4	340.7	7	19	6
O14976	Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=2	37C	633.7	731.8	609.6	593.4	909.9	613.2	797.6	540.3	639.4	13	19	12
P04080	Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2	37C	1395.3	902.7	1508.2	1318	1082.2	1150.5	934.9	1187.8	1311.6	4	41	4
P01034	Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1	37C	131.1	94.6	135	139.2	132.9	138.7	109.2	128	133.3	2	4	2
P21291	Cysteine and glycine-rich protein 1 OS=Homo sapiens OX=9606 GN=CSRP1 PE=1 SV=3	37C	131.6	94.7	147.6	159.2	135.4	164	112	175.4	156.9	3	11	3
P22695	Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3	37C	360.9	495.8	331.4	313.4	909.5	338.7	772.6	321.1	324.1	7	14	6
P07919	Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2	37C	435.6	446.4	413.9	402.3	618.8	327.7	513.9	364.7	313.4	5	9	4
P20674	Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=2	37C	400.1	429.1	361.5	324.7	501.7	317.3	432.1	351.8	345.5	4	12	5
P10606	Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2	37C	192.8	150.9	151.5	139.4	204.3	115.9	182.5	144.2	126.9	2	7	2
